scale,seed,total_reward,final_success
0.1,0,658.0,0.1
0.1,1,1413.0,0.195
0.1,2,3009.0,0.355
0.1,3,838.0,0.095
0.1,4,1377.0,0.165
0.1,5,1512.0,0.155
0.1,6,3705.0,0.5
0.1,7,424.0,0.05
0.1,8,1617.0,0.135
0.1,9,853.0,0.12
0.1,10,1539.0,0.17
0.1,11,1021.0,0.125
0.1,12,1151.0,0.175
0.1,13,4394.0,0.565
0.1,14,915.0,0.185
0.1,15,965.0,0.11
0.1,16,456.0,0.05
0.1,17,491.0,0.08
0.1,18,1034.0,0.165
0.1,19,568.0,0.055
0.1,20,1101.0,0.145
0.1,21,965.0,0.155
0.1,22,544.0,0.09
0.1,23,836.0,0.09
0.1,24,498.0,0.06
0.1,25,1023.0,0.125
0.1,26,880.0,0.115
0.1,27,463.0,0.035
0.1,28,622.0,0.075
0.1,29,871.0,0.105
0.25,0,4630.0,0.61
0.25,1,1525.0,0.22
0.25,2,2213.0,0.255
0.25,3,1562.0,0.2
0.25,4,1552.0,0.2
0.25,5,1361.0,0.215
0.25,6,948.0,0.12
0.25,7,2443.0,0.45
0.25,8,1123.0,0.135
0.25,9,1549.0,0.2
0.25,10,936.0,0.13
0.25,11,1613.0,0.205
0.25,12,941.0,0.12
0.25,13,845.0,0.115
0.25,14,2190.0,0.235
0.25,15,824.0,0.1
0.25,16,1647.0,0.235
0.25,17,3367.0,0.555
0.25,18,1180.0,0.125
0.25,19,2667.0,0.45
0.25,20,1125.0,0.215
0.25,21,3128.0,0.435
0.25,22,5127.0,0.69
0.25,23,1163.0,0.145
0.25,24,1457.0,0.17
0.25,25,1371.0,0.16
0.25,26,1968.0,0.245
0.25,27,1405.0,0.115
0.25,28,2828.0,0.37
0.25,29,1692.0,0.25
0.5,0,3668.0,0.5
0.5,1,3632.0,0.5
0.5,2,1532.0,0.23
0.5,3,2501.0,0.365
0.5,4,1590.0,0.21
0.5,5,911.0,0.13
0.5,6,2540.0,0.315
0.5,7,4091.0,0.615
0.5,8,2747.0,0.5
0.5,9,4524.0,0.575
0.5,10,3670.0,0.5
0.5,11,2114.0,0.325
0.5,12,2000.0,0.255
0.5,13,3842.0,0.51
0.5,14,1195.0,0.195
0.5,15,1713.0,0.265
0.5,16,2728.0,0.37
0.5,17,1763.0,0.265
0.5,18,2939.0,0.38
0.5,19,2704.0,0.435
0.5,20,4746.0,0.59
0.5,21,4512.0,0.61
0.5,22,4662.0,0.575
0.5,23,4229.0,0.575
0.5,24,2579.0,0.39
0.5,25,2542.0,0.33
0.5,26,3959.0,0.61
0.5,27,1482.0,0.21
0.5,28,4782.0,0.595
0.5,29,2402.0,0.335
1.0,0,3183.0,0.57
1.0,1,4481.0,0.61
1.0,2,1475.0,0.21
1.0,3,3971.0,0.55
1.0,4,4709.0,0.71
1.0,5,3209.0,0.43
1.0,6,4652.0,0.595
1.0,7,2947.0,0.385
1.0,8,5355.0,0.715
1.0,9,4671.0,0.73
1.0,10,5385.0,0.715
1.0,11,2122.0,0.325
1.0,12,3437.0,0.51
1.0,13,2084.0,0.325
1.0,14,5204.0,0.71
1.0,15,5066.0,0.705
1.0,16,4114.0,0.57
1.0,17,1803.0,0.265
1.0,18,3185.0,0.42
1.0,19,3383.0,0.41
1.0,20,1615.0,0.21
1.0,21,4359.0,0.61
1.0,22,5096.0,0.715
1.0,23,4140.0,0.715
1.0,24,4432.0,0.61
1.0,25,4566.0,0.57
1.0,26,4561.0,0.61
1.0,27,1929.0,0.265
1.0,28,4388.0,0.595
1.0,29,4733.0,0.725
2.0,0,5165.0,0.715
2.0,1,3688.0,0.51
2.0,2,5353.0,0.73
2.0,3,3768.0,0.51
2.0,4,4739.0,0.7
2.0,5,5148.0,0.705
2.0,6,4657.0,0.725
2.0,7,5398.0,0.715
2.0,8,4997.0,0.71
2.0,9,5305.0,0.705
2.0,10,3628.0,0.5
2.0,11,3270.0,0.405
2.0,12,4410.0,0.61
2.0,13,3728.0,0.51
2.0,14,5094.0,0.715
2.0,15,5266.0,0.73
2.0,16,3569.0,0.51
2.0,17,5066.0,0.7
2.0,18,4905.0,0.695
2.0,19,5112.0,0.715
2.0,20,5013.0,0.7
2.0,21,5248.0,0.715
2.0,22,5311.0,0.715
2.0,23,5152.0,0.725
2.0,24,5267.0,0.695
2.0,25,3671.0,0.5
2.0,26,5241.0,0.7
2.0,27,4399.0,0.71
2.0,28,5067.0,0.705
2.0,29,1701.0,0.275
5.0,0,4933.0,0.715
5.0,1,4914.0,0.73
5.0,2,5065.0,0.73
5.0,3,4847.0,0.73
5.0,4,5034.0,0.715
5.0,5,5123.0,0.715
5.0,6,4986.0,0.725
5.0,7,5193.0,0.715
5.0,8,4744.0,0.72
5.0,9,4776.0,0.72
5.0,10,3422.0,0.49
5.0,11,5118.0,0.715
5.0,12,4773.0,0.715
5.0,13,5094.0,0.715
5.0,14,4782.0,0.73
5.0,15,5034.0,0.715
5.0,16,3446.0,0.5
5.0,17,4851.0,0.715
5.0,18,4886.0,0.73
5.0,19,4927.0,0.7
5.0,20,5218.0,0.73
5.0,21,4917.0,0.705
5.0,22,4974.0,0.715
5.0,23,4850.0,0.705
5.0,24,5232.0,0.715
5.0,25,4952.0,0.73
5.0,26,5156.0,0.715
5.0,27,4848.0,0.72
5.0,28,5036.0,0.715
5.0,29,4836.0,0.715
